wall_time_s,cf_timestamp_ms,state_x_m,state_y_m,state_z_m,roll_deg,pitch_deg,yaw_deg,battery_v
0.0,652768,0.010733967646956444,0.18249548971652985,0.011693522334098816,,,,
0.0,652769,,,,0.1237167939543724,-0.5641478896141052,0.012894544750452042,
0.20432400703430176,652968,0.010547127574682236,0.1820775866508484,0.013995503075420856,,,,
0.20432400703430176,652969,,,,0.07200267910957336,-0.5589375495910645,0.017408117651939392,
0.30451226234436035,653071,,,,,,,3.737243413925171
0.39359283447265625,653168,0.010247058235108852,0.1826995611190796,0.013420608825981617,,,,
0.39359283447265625,653169,,,,0.0739007517695427,-0.504056990146637,0.01766846887767315,
0.5978715419769287,653368,0.010470453649759293,0.1825052946805954,0.012392716482281685,,,,
0.5978715419769287,653369,,,,0.08586687594652176,-0.5565857887268066,0.018658068031072617,
0.8025767803192139,653568,0.010394927114248276,0.18170472979545593,0.014253496192395687,,,,
0.8025767803192139,653569,,,,0.0958615094423294,-0.5394961833953857,0.015242365188896656,
0.8025767803192139,653571,,,,,,,3.7319648265838623
1.0076282024383545,653768,0.010603764094412327,0.18261508643627167,0.01381706167012453,,,,
1.0076282024383545,653769,,,,0.0971425473690033,-0.5437924265861511,0.012727434746921062,
1.196943998336792,653968,0.010860657319426537,0.18174386024475098,0.013189594261348248,,,,
1.196943998336792,653969,,,,0.0842822790145874,-0.5706494450569153,0.01220451295375824,
1.3069028854370117,654071,,,,,,,3.7319648265838623
1.4014790058135986,654168,0.011293021962046623,0.18257975578308105,0.013358978554606438,,,,
1.4014790058135986,654169,,,,0.18704243004322052,-0.5815616250038147,0.00946065690368414,
1.5901238918304443,654368,0.010225013829767704,0.1823255568742752,0.014551406726241112,,,,
1.6058337688446045,654369,,,,0.16555501520633698,-0.615064799785614,0.010106820613145828,
1.7944459915161133,654568,0.011286900378763676,0.18255984783172607,0.012737473472952843,,,,
1.7944459915161133,654569,,,,0.14091309905052185,-0.63017338514328,0.0023187315091490746,
1.8159284591674805,654571,,,,,,,3.7319648265838623
1.9987871646881104,654768,0.010883566923439503,0.1825764924287796,0.013234253972768784,,,,
1.9987871646881104,654769,,,,0.1579505056142807,-0.5417986512184143,0.005484729539602995,
2.1878840923309326,654968,0.011758318170905113,0.18283727765083313,0.014470336027443409,,,,
2.208122491836548,654969,,,,0.19305360317230225,-0.5705745220184326,-0.0037178576458245516,
2.297992467880249,655071,,,,,,,3.7319648265838623
2.392270088195801,655168,0.01131547149270773,0.18330442905426025,0.013639246113598347,,,,
2.4078524112701416,655169,,,,0.1326298713684082,-0.5948780179023743,0.00038124812999740243,
