time_s,x_m,y_m,z_m,original_target_x_m,original_target_y_m,selected_target_x_m,selected_target_y_m,target_type,proposed_speed_mps,executed_speed_mps,intervention,reason,current_clearance_m,direct_predicted_clearance_m,safe_predicted_clearance_m,adaptive_speed_mps,risk_score,avoid_active,avoid_obstacle
0.0,-1.1,0.12,0.3,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.79,0.22532122280159558,0.22532122280159558,0.34,0.0,0,O1
0.020833333333333332,-1.0999986065952032,0.11999979196094854,0.3000022984723453,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7899986065952259,0.22531984666425717,0.22531984957463666,0.34,0.0,0,O1
0.041666666666666664,-1.099970791085601,0.11999601364317128,0.3000065412122358,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7899707910939648,0.22529235581744048,0.22529240832956152,0.34,0.0,0,O1
0.0625,-1.0998636220309663,0.11998708892223575,0.30001447196285264,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7898636221187135,0.22518613622820619,0.22518625233129672,0.34,0.0,0,O1
0.08333333333333333,-1.0996455253423991,0.11997513776323439,0.3000246432216394,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7896455256678525,0.22496964043220088,0.2249697496274963,0.34,0.0,0,O1
0.10416666666666667,-1.0993171854546542,0.11995400995829987,0.300037707000001,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7893171865686569,0.224643883421521,0.22464405848896143,0.34,0.0,0,O1
0.125,-1.0988649097607892,0.11992562566019083,0.30005341848936873,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.78886491267561,0.22419513585585624,0.22419538324262436,0.34,0.0,0,O1
0.14583333333333334,-1.0982669953676696,0.11989519661638619,0.30006829432048227,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7882670011591552,0.22360151780600898,0.22360170396130144,0.34,0.0,0,O1
0.16666666666666666,-1.0975412323382683,0.11984755965296566,0.30008450068807196,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7875412446005626,0.22288157191752453,0.22288193193876057,0.34,0.0,0,O1
0.1875,-1.0967072785191037,0.11978393214164913,0.30010230992154835,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7867073031757846,0.22205482157549902,0.2220555603805742,0.34,0.0,0,O1
0.20833333333333334,-1.0957354698233392,0.11971599113297875,0.3001187043255988,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7857355124679462,0.221091119065863,0.22109212666793207,0.34,0.0,0,O1
0.22916666666666666,-1.0945882037256518,0.11962317727848251,0.30013297754912904,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7845882788882238,0.21995418685363635,0.21995577739017788,0.34,0.0,0,O1
0.25,-1.093276571501106,0.11948958933855311,0.3001461152842345,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7832767095937035,0.21865600121938192,0.21865882383566446,0.34,0.0,0,O1
0.2708333333333333,-1.0918207887136118,0.11934927201754912,0.30015668675783513,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7818210135158573,0.21721485437712815,0.2172187537686747,0.34,0.0,0,O1
0.2916666666666667,-1.0902130799132537,0.11924405372020086,0.3001652052854,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7802133838096245,0.21562067238443203,0.2156245596859596,0.34,0.0,0,O1
0.3125,-1.0884625439790785,0.11916693674600866,0.3001713626612543,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7784629137297163,0.21388288700524535,0.21388595874068841,0.34,0.0,0,O1
0.3333333333333333,-1.0866056709848948,0.11910238331847976,0.3001766287905586,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7766061011101582,0.21203869300059172,0.21204062814769156,0.34,0.0,0,O1
0.3541666666666667,-1.0846589851894315,0.11907265877629142,0.30018266028123464,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7746594452296959,0.210103242500956,0.21010326482356476,0.34,0.0,0,O1
0.375,-1.0826280562293105,0.11909415269284437,0.3001887002706575,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7726284961469951,0.20808109118294496,0.20807813971521863,0.34,0.0,0,O1
0.3958333333333333,-1.0805501309702243,0.1191330047325706,0.3001973598290141,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7705505348606787,0.2060112470432893,0.20600519966084782,0.34,0.0,0,O1
0.4166666666666667,-1.0784573296459232,0.11914745107665257,0.300209753914966,1.9,-0.04,1.9,-0.04,original,0.34,0.34,0,guided_smooth_avoidance,0.7684577210691422,0.2039281271955903,0.20391987153696386,0.34,0.0,0,O1
0.4375,-1.07633182690173,0.119144446161886,0.30022415380316947,1.9,-0.04,1.9,-0.04,original,0.34,0.3400000000000001,0,guided_smooth_avoidance,0.7663322219935278,0.2018136155702255,0.20180375465342346,0.34,0.0,0,O1
0.4583333333333333,-1.0741480548915472,0.11913900366125042,0.3002381870097937,1.9,-0.04,-0.45,-0.06,avoidance,0.34,0.3400000000000001,1,guided_smooth_avoidance,0.7641484559715096,0.1996414053887576,0.20227823516899865,0.34,0.0,1,O1
