case,steps,interventions,avoidance_steps,collision_steps_virtual,close_steps_less_8cm,min_clearance_m,min_predicted_clearance_m,max_risk_score,mean_executed_speed_mps
baseline_direct,1676,0,0,321,761,-0.11395580118339904,-0.11519607089706313,0.18519607089706314,0.33999999999999997
runtime_supervisor,2060,1993,1993,0,322,0.02784852158684542,-0.08714763280149407,0.20037436606844627,0.2991380960087044
