time_s,x_m,y_m,z_m,original_target_x_m,original_target_y_m,selected_target_x_m,selected_target_y_m,target_type,proposed_speed_mps,executed_speed_mps,intervention,reason,current_clearance_m,direct_predicted_clearance_m,safe_predicted_clearance_m,adaptive_speed_mps,risk_score,avoid_active,avoid_obstacle
0.0,-1.1,0.12,0.3,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.89,0.32681188125603655,0.32681188125603655,0.34,0.0,0,none
0.020833333333333332,-1.0999986066178096,0.11999970601718214,0.30000234873667736,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8899986066178506,0.32681051246754644,0.32681051246754644,0.34,0.0,0,none
0.041666666666666664,-1.0999707960069747,0.1199943666513735,0.30000682595688255,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8899707960220867,0.32678316473269553,0.32678316473269553,0.34,0.0,0,none
0.0625,-1.099863736400166,0.11998175476031908,0.30001506355304436,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8898637365587049,0.32667746590093105,0.32667746590093105,0.34,0.0,0,none
0.08333333333333333,-1.0996460443635911,0.11996486613304652,0.3000255707518752,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8896460449515934,0.3264620778133407,0.3264620778133407,0.34,0.0,0,none
0.10416666666666667,-1.0993182012772065,0.11993500637955523,0.30004001558479637,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8893182032900234,0.32613794520787587,0.32613794520787587,0.34,0.0,0,none
0.125,-1.0988659306914597,0.11989488910944088,0.3000586375783043,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.888865935958243,0.3256907470225081,0.3256907470225081,0.34,0.0,0,none
0.14583333333333334,-1.09826821997843,0.11985188751127357,0.30007589912283333,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8882682304420254,0.32509922283421777,0.32509922283421777,0.34,0.0,0,none
0.16666666666666666,-1.0975429287533585,0.11978400506438452,0.3000933249476263,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8875429510215683,0.32438230798728185,0.32438230798728185,0.34,0.0,0,none
0.1875,-1.0967070883096355,0.11968423649826265,0.30011044122165625,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8867071359383311,0.3235573259879755,0.3235573259879755,0.34,0.0,0,none
0.20833333333333334,-1.0957280443126542,0.11957546323859769,0.3001267562183693,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8857281304877621,0.32259063302112134,0.32259063302112134,0.34,0.0,0,none
0.22916666666666666,-1.0945653978449752,0.11946329005807321,0.3001395726331362,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8845655357288947,0.3214418193602626,0.3214418193602626,0.34,0.0,0,none
0.25,-1.093227801758576,0.11933297853532282,0.30014884739739567,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8832280149994366,0.3201203201822007,0.3201203201822007,0.34,0.0,0,none
0.2708333333333333,-1.091739811152482,0.11919839330689916,0.3001566700686542,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8817401195659594,0.31864980581403224,0.31864980581403224,0.34,0.0,0,none
0.2916666666666667,-1.09009586834086,0.11907899958546812,0.3001637870813127,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8800962761117311,0.3170237027118896,0.3170237027118896,0.34,0.0,0,none
0.3125,-1.0882949892431122,0.11894538335814642,0.30017031390355686,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8782955248404066,0.31524270097677587,0.31524270097677587,0.34,0.0,0,none
0.3333333333333333,-1.0863861267167612,0.11876014673313326,0.3001778417223172,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8763868683494082,0.3133575923066463,0.3133575923066463,0.34,0.0,0,none
0.3541666666666667,-1.0844260058983373,0.11853452279228803,0.30018823500426584,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8744270439727652,0.3114241700164415,0.3114241700164415,0.34,0.0,0,none
0.375,-1.0824225887964263,0.11828804005866289,0.30019970483676417,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8724240081787885,0.30944929652685593,0.30944929652685593,0.34,0.0,0,none
0.3958333333333333,-1.0803752115986391,0.11800035148259816,0.3002101780777886,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8703771519551146,0.30743357028945817,0.30743357028945817,0.34,0.0,0,none
0.4166666666666667,-1.0783201594732248,0.11765436935631127,0.30022158620360595,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.868322834698401,0.3054141395822002,0.3054141395822002,0.34,0.0,0,none
0.4375,-1.0762868750632961,0.11728288865134746,0.3002356044781352,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8662904718554422,0.3034183910866596,0.3034183910866596,0.34,0.0,0,none
0.4583333333333333,-1.0742544672757448,0.11692645337280756,0.300251680451181,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.864259078760442,0.3014231660028942,0.3014231660028942,0.34,0.0,0,none
0.4791666666666667,-1.0721942114339662,0.11657670592422893,0.3002686422568377,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8621999436663245,0.29940045206999355,0.29940045206999355,0.34,0.0,0,none
0.5,-1.0701262140690437,0.1162173289449932,0.3002862313134994,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8601332271968943,0.2973712285022093,0.2973712285022093,0.34,0.0,0,none
0.5208333333333334,-1.0680785311448282,0.11588067033442835,0.3003045294522514,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8580868648867367,0.2953612890789371,0.2953612890789371,0.34,0.0,0,none
0.5416666666666666,-1.0660306026733202,0.11560687823673117,0.30032276841880334,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8560401001375569,0.29334757979062864,0.29334757979062864,0.34,0.0,0,none
0.5625,-1.0639541304802365,0.11538735775578918,0.3003406091928952,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8539646222558287,0.2913024609298426,0.2913024609298426,0.34,0.0,0,none
0.5833333333333334,-1.0618697090274276,0.11520503858856351,0.30035702021883703,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8518810699396387,0.2892473846470457,0.2892473846470457,0.34,0.0,0,none
0.6041666666666666,-1.059805945146589,0.11508089897259825,0.3003730010642592,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8498179263651017,0.2872092491515249,0.2872092491515249,0.34,0.0,0,none
0.625,-1.0577428776581421,0.11503036676883513,0.30038906905280577,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8477551313315975,0.28516712485349904,0.28516712485349904,0.34,0.0,0,none
0.6458333333333334,-1.0556528416476567,0.11501891706829072,0.3004054467402417,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8456651774329166,0.28309581830618813,0.28309581830618813,0.34,0.0,0,none
0.6666666666666666,-1.0535570458103183,0.11500444827434099,0.30042286668831025,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8435694792751406,0.2810191770833289,0.2810191770833289,0.34,0.0,0,none
0.6875,-1.0514846684026553,0.11499399938956527,0.30044119047215845,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8414971797702119,0.2789656484532377,0.2789656484532377,0.34,0.0,0,none
0.7083333333333334,-1.0494161069764327,0.11500279855794764,0.300459977537814,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.839428600204227,0.2769147461526038,0.2769147461526038,0.34,0.0,0,none
0.7291666666666666,-1.0473238002980962,0.11499773558630523,0.30047863535544783,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8373363451164815,0.2748414280181033,0.2748414280181033,0.34,0.0,0,none
0.75,-1.0452286515072817,0.11493812750497973,0.30049721558520026,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8352415241207323,0.27276927460845013,0.27276927460845013,0.34,0.0,0,none
0.7708333333333334,-1.0431591297404947,0.11483225847581725,0.300516189509276,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8331725743995136,0.2707259997562873,0.2707259997562873,0.34,0.0,0,none
0.7916666666666666,-1.04109448212353,0.11469706521704373,0.30053371698419,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8311086689223438,0.26868991626078353,0.26868991626078353,0.34,0.0,0,none
0.8125,-1.0390057087254785,0.11451214022212645,0.30055052885068606,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8290209343065128,0.26663381938840136,0.26663381938840136,0.34,0.0,0,none
0.8333333333333334,-1.0369120763647421,0.11426341855752035,0.30056746898632125,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8269287486142111,0.26457793574060096,0.26457793574060096,0.34,0.0,0,none
0.8541666666666666,-1.0348402897990636,0.1139865719565448,0.3005857511250669,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8248586486031065,0.2625462566460516,0.2625462566460516,0.34,0.0,0,none
0.875,-1.0327679355931787,0.11372454134608127,0.30060537496104306,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8227879713404083,0.26051346725166125,0.26051346725166125,0.34,0.0,0,none
0.8958333333333334,-1.0306644718791498,0.11347058599457305,0.3006249214265891,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8206862085566748,0.2584498068641713,0.2584498068641713,0.34,0.0,0,none
0.9166666666666666,-1.0285481823230982,0.11320932934500834,0.30064543603800115,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8185717440922683,0.2563745446594482,0.2563745446594482,0.34,0.0,0,none
0.9375,-1.0264454746577123,0.11297317854067747,0.300666288488753,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8164707579847673,0.2543113567891192,0.2543113567891192,0.34,0.0,0,none
0.9583333333333334,-1.024334698873473,0.11280174708094372,0.3006872054141356,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8143612883699495,0.2522356786202278,0.2522356786202278,0.34,0.0,0,none
0.9791666666666666,-1.022187068481739,0.11268539566258605,0.3007082895234353,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8122145851404051,0.250119645479727,0.250119645479727,0.34,0.0,0,none
1.0,-1.0200237056417214,0.11260566831351125,0.30072737917246006,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8100518881214481,0.24798551840684244,0.24798551840684244,0.34,0.0,0,none
1.0208333333333333,-1.0178744757580493,0.11258064398691432,0.3007479566838272,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8079029123148497,0.24586134228226517,0.24586134228226517,0.34,0.0,0,none
1.0416666666666667,-1.0157215263951607,0.11262098609740005,0.3007688432396508,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8057497172607267,0.24372851327673747,0.24372851327673747,0.34,0.0,0,none
1.0625,-1.0135399981019264,0.11268823790375627,0.30079127318046534,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8035677401237612,0.24156545115005032,0.24156545115005032,0.34,0.0,0,none
1.0833333333333333,-1.011354444179101,0.1127373887249435,0.30081702861993626,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.8013818767094792,0.23940005408688694,0.23940005408688694,0.34,0.0,0,none
1.1041666666666667,-1.0091976872558939,0.11277417753516587,0.30084298536143644,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.7992249036317545,0.2372643397537805,0.2372643397537805,0.34,0.0,0,none
1.125,-1.0070533745185082,0.11281378265137948,0.3008729265323499,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.7970803536783343,0.235140909195077,0.235140909195077,0.34,0.0,0,none
1.1458333333333333,-1.0048965652295658,0.11282450649865244,0.30090297462585636,1.55,-0.08,1.55,-0.08,original,0.34,0.34,0,no_supervisor,0.7949235246836315,0.2330077133383819,0.2330077133383819,0.34,0.0,0,none
