case,steps,interventions,avoidance_steps,collision_steps_virtual,close_steps_less_8cm,min_clearance_m,min_predicted_clearance_m,max_risk_score,max_proximity_risk,min_executed_speed_mps,mean_executed_speed_mps,max_speed_reduction_mps
baseline_direct,1625,0,0,321,853,-0.11395580118339904,-0.11519607089706313,0.18519607089706314,1.0,0.34,0.3399999999999999,0.0
runtime_supervisor,2016,1994,1994,0,479,0.03079341591490073,-0.08779460542114319,0.17434431899715885,0.8460329204254964,0.2339750426441265,0.2940216515745813,0.10602495735587353
