obstacle,closest_time_s,closest_x_m,closest_y_m,distance_to_center_m,min_clearance_m,max_proximity_risk,min_executed_speed_mps,max_speed_reduction_mps,intervention_steps
O1,11.854166666666666,-0.16010664831781332,-0.11184902870760759,0.23206920617109245,0.07206920617109244,0.6396539691445378,0.26632389513692256,0.07367610486307746,740
O2,21.354166666666668,0.4659870752918565,0.020122436813987846,0.19079341591490073,0.03079341591490073,0.8460329204254964,0.2339750426441265,0.10602495735587353,483
O3,30.0,1.0116243970934418,-0.13625469015000535,0.23654049383913328,0.07654049383913328,0.6172975308043336,0.269388925327478,0.07061107467252203,356
O4,35.75,1.3643083516948669,0.01660643322175829,0.22811980859131964,0.06811980859131964,0.6594009570434018,0.2635652528662601,0.07643474713373993,415
