,nearest_clearance_m,proximity_risk,executed_speed_mps,speed_reduction_mps,safe_predicted_clearance_m,risk_score
nearest_clearance_m,1.0,-0.7886256503896687,0.7664014925281754,-0.7664014925281757,0.5620663911121347,-0.30019217957173516
proximity_risk,-0.7886256503896687,1.0,-0.9972246473597239,0.9972246473597228,-0.5995680082881255,0.4086374197459822
executed_speed_mps,0.7664014925281754,-0.9972246473597239,1.0,-0.9999999999999997,0.593978872048638,-0.4072734145354479
speed_reduction_mps,-0.7664014925281757,0.9972246473597228,-0.9999999999999997,1.0,-0.5939788720486394,0.407273414535449
safe_predicted_clearance_m,0.5620663911121347,-0.5995680082881255,0.593978872048638,-0.5939788720486394,1.0,-0.8543463538309816
risk_score,-0.30019217957173516,0.4086374197459822,-0.4072734145354479,0.407273414535449,-0.8543463538309816,1.0
