,nearest_clearance_m,proximity_risk,executed_speed_mps,speed_reduction_mps,safe_predicted_clearance_m,risk_score
nearest_clearance_m,1.0,-0.7851139299990841,0.7780781891035722,-0.7780781891035716,0.8576710699178247,-0.47129908824507033
proximity_risk,-0.7851139299990841,1.0,-0.9996481067561441,0.9996481067561445,-0.6922072598710586,0.6029427258341965
executed_speed_mps,0.7780781891035722,-0.9996481067561441,1.0,-0.9999999999999998,0.6877934877966377,-0.6036882321586161
speed_reduction_mps,-0.7780781891035716,0.9996481067561445,-0.9999999999999998,1.0,-0.6877934877966371,0.6036882321586163
safe_predicted_clearance_m,0.8576710699178247,-0.6922072598710586,0.6877934877966377,-0.6877934877966371,1.0,-0.7823974416332454
risk_score,-0.47129908824507033,0.6029427258341965,-0.6036882321586161,0.6036882321586163,-0.7823974416332454,1.0
